Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,829777,10.30,10.30,0.00,1.56,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
S,40,10.30,10.30,0.00,2.03,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
T,829787,8.40,8.40,0.00,1.62,0.01,0.00,0.00,0.00,0.00,15.00,0.02,1
L,57641,14.80,14.80,0.00,0.00,0.07,0.00,0.00,-1023.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,1.96,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,8.50,8.40,0.00,1.99,0.01,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,14.40,14.80,0.00,-0.18,0.05,0.00,4.69,-1023.00,0.00,15.00,0.00,1
L,40,14.50,14.80,0.00,-0.03,-0.08,0.00,0.84,278.98,0.00,15.00,0.00,1
L,40,12.90,14.80,0.00,0.18,-0.23,0.00,-4.63,748.29,0.00,15.00,0.00,1
T,40,8.30,8.40,0.00,1.92,0.00,0.00,0.00,0.00,0.00,15.00,0.02,1
S,40,10.20,10.30,0.00,1.92,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
L,40,8.10,14.80,0.00,-0.28,-0.10,0.00,6.39,84.93,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,1.53,-0.16,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,8.40,8.40,0.00,1.62,0.01,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,9.80,14.80,0.00,-0.16,-0.15,0.00,4.78,470.96,0.00,15.00,0.00,1
S,40,10.60,10.30,0.00,1.06,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,8.30,8.40,0.00,1.38,0.01,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,10.70,14.80,0.00,-0.04,-0.08,0.00,2.55,174.13,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.96,0.01,0.00,0.00,0.00,0.00,15.00,0.02,1
S,40,10.00,10.30,0.00,0.81,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
L,40,14.60,14.80,0.00,0.07,-0.04,0.00,-1.73,146.53,0.00,15.00,0.00,1
S,40,10.00,10.30,0.00,0.60,-0.11,0.00,0.00,0.00,0.02,15.00,0.00,1
T,40,8.60,8.40,0.00,0.74,0.01,0.00,0.00,0.00,0.00,15.00,0.02,1
L,40,14.50,14.80,0.00,0.06,-0.18,0.00,-2.01,595.04,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.53,0.00,0.00,0.00,0.00,0.00,15.00,0.02,1
S,40,10.70,10.30,0.00,0.43,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.80,14.80,0.00,0.09,-0.13,0.00,-3.16,267.48,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.30,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.38,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.40,14.80,0.00,0.04,-0.12,0.00,-2.40,315.45,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.21,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.70,8.40,0.00,0.26,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,11.00,14.80,0.00,0.00,-0.11,0.00,-1.61,305.94,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.15,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.20,8.40,0.00,0.19,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,8.70,14.80,0.00,0.02,-0.09,0.00,-2.12,274.89,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.13,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.11,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.70,14.80,0.00,0.00,-0.16,0.00,-1.75,584.90,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.10,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.30,0.00,0.08,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,5.90,14.80,0.00,-0.05,-0.12,0.00,-0.26,329.51,0.00,15.00,0.00,1
T,40,8.30,8.40,0.00,0.07,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.06,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.90,14.80,0.00,-0.05,-0.09,0.00,0.00,334.32,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.05,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.30,0.00,0.01,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.80,14.80,0.00,-0.07,0.49,0.00,0.67,-1023.00,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.03,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.80,10.30,0.00,0.01,-0.15,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.20,14.80,0.00,-0.11,0.54,0.00,2.06,-1023.00,0.00,15.00,0.00,1
L,40,4.50,14.80,0.00,-0.09,0.43,0.00,2.22,-785.28,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.02,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.90,10.30,0.00,0.01,-0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.02,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.01,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.00,14.80,0.00,0.05,0.32,0.00,-0.86,-614.85,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.01,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,8.90,14.80,0.00,0.84,-0.14,0.00,-21.80,870.61,0.00,15.00,0.00,1
T,40,8.70,8.40,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,11.00,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.70,14.80,0.00,-0.45,-0.10,0.00,7.05,33.33,0.00,15.00,0.00,1
T,40,8.30,8.40,0.00,0.01,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.00,14.80,0.00,-0.71,0.06,0.00,18.59,-235.61,0.00,15.00,0.00,1
S,40,10.10,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.80,14.80,0.00,-0.22,0.07,0.00,9.96,-180.37,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,10.70,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.90,14.80,0.00,-0.08,0.06,0.00,2.16,-225.86,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.20,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.60,14.80,0.00,-0.11,0.04,0.00,3.39,-83.60,0.00,15.00,0.00,1
T,40,8.20,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.60,14.80,0.00,-0.03,0.03,0.00,1.90,-77.69,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.50,14.80,0.00,-0.08,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.00,14.80,0.00,-0.07,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.90,14.80,0.00,-0.05,-0.07,0.00,1.32,271.68,0.00,15.00,0.00,1
T,40,8.20,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.20,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.30,14.80,0.00,-0.40,-0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.30,0.00,0.00,-0.15,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.40,14.80,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.10,14.80,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.40,14.80,0.00,-0.03,-0.04,0.00,0.75,135.56,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.30,14.80,0.00,-0.02,-0.07,0.00,0.64,269.64,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.30,0.00,0.00,-0.12,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.60,14.80,0.00,-0.03,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.20,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.10,14.80,0.00,-0.02,0.03,0.00,0.52,-110.81,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.60,14.80,0.00,0.00,0.03,0.00,-0.04,-101.95,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.10,10.30,0.00,0.00,-0.15,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.80,14.80,0.00,0.04,-0.13,0.00,-1.07,515.87,0.00,15.00,0.00,1
T,40,8.50,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.90,14.80,0.00,0.12,-0.16,0.00,-3.48,396.25,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.40,14.80,0.00,0.00,-0.11,0.00,-1.04,231.16,0.00,15.00,0.00,1
T,40,8.20,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.50,14.80,0.00,0.00,-0.14,0.00,-1.05,418.93,0.00,15.00,0.00,1
T,40,8.80,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.70,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,12.50,14.80,0.00,0.12,-0.11,0.00,-4.03,276.34,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.90,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,8.90,14.80,0.00,0.06,-0.13,0.00,-3.26,444.66,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.70,14.80,0.00,-0.07,-0.12,0.00,-0.32,364.75,0.00,15.00,0.00,1
T,40,8.30,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.60,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,6.50,14.80,0.00,-0.07,-0.13,0.00,0.17,454.21,0.00,15.00,0.00,1
T,40,8.80,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.80,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.50,14.80,0.00,0.01,0.48,0.00,-1.60,-1023.00,0.00,15.00,0.00,1
S,40,10.40,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.20,14.80,0.00,-0.02,-0.11,0.00,-0.74,1023.00,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.70,14.80,0.00,0.01,-0.15,0.00,-1.44,515.97,0.00,15.00,0.00,1
S,40,10.50,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.60,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,4.90,14.80,0.00,-0.20,-0.16,0.00,3.97,496.11,0.00,15.00,0.00,1
T,40,8.40,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.80,10.30,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.30,8.40,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,20256,16.80,16.80,0.00,0.05,-0.05,0.00,-156.68,1023.00,0.00,15.00,0.00,1
S,20272,8.60,8.60,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,20270,8.70,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.60,8.60,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.50,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.10,8.60,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,15.90,16.80,0.00,-1.37,-0.12,0.00,-119.91,1023.00,0.00,15.00,0.00,1
T,40,8.50,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.60,8.60,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.30,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.70,8.60,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,14.20,16.80,0.00,-2.16,-0.12,0.00,-91.39,1023.00,0.00,15.00,0.00,1
T,40,8.60,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.30,8.60,0.00,0.00,-0.11,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,13.50,16.80,0.00,-1.59,-0.14,0.00,-93.49,1023.00,0.00,15.00,0.00,1
L,40,18.20,16.80,0.00,-1.24,-0.20,0.00,-93.42,1023.00,0.00,15.00,0.00,1
T,40,8.40,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,16.40,16.80,0.00,-1.13,-0.18,0.00,-89.10,1023.00,0.00,15.00,0.00,1
L,40,13.40,16.80,0.00,-1.24,-0.13,0.00,-79.68,1023.00,0.00,15.00,0.00,1
L,40,4.20,16.80,0.00,-1.07,-0.12,0.00,-76.92,1023.00,0.00,15.00,0.00,1
S,40,8.70,8.60,0.40,0.00,-0.11,0.40,10.44,411.73,0.00,15.00,0.00,1
L,40,2.30,16.80,0.00,-0.96,-0.11,0.00,-73.60,1023.00,0.00,15.00,0.00,1
T,40,8.70,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.30,8.60,-1.00,0.27,-0.11,-1.00,-30.84,243.00,0.00,15.00,0.00,1
L,40,2.80,16.80,0.00,-0.72,-0.09,0.00,-74.26,1023.00,0.00,15.00,0.00,1
T,40,8.40,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.90,8.60,-1.00,0.09,0.18,-1.00,-33.53,-770.64,0.00,15.00,0.00,1
L,40,4.80,16.80,0.00,-0.59,-0.11,0.00,-73.48,1023.00,0.00,15.00,0.00,1
T,40,8.60,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,10.30,8.60,1.00,-0.11,0.15,1.00,17.67,-287.16,0.00,15.00,0.00,1
L,40,2.30,16.80,0.00,-0.53,-0.09,0.00,-71.67,1023.00,0.00,15.00,0.00,1
T,40,8.60,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.80,8.60,1.00,-0.28,-0.12,1.00,28.49,661.00,0.00,15.00,0.00,1
L,40,2.60,16.80,0.00,-0.42,-0.13,0.00,-71.40,1023.00,0.00,15.00,0.00,1
T,40,8.30,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.00,8.60,-1.00,-0.01,-0.17,-1.00,-23.41,427.73,0.00,15.00,0.00,1
L,40,3.00,16.80,0.00,-0.40,-0.14,0.00,-69.47,1023.00,0.00,15.00,0.00,1
T,40,8.40,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,3.80,8.60,-1.00,0.12,0.14,-1.00,-32.61,-747.61,0.00,15.00,0.00,1
L,40,-1.00,16.80,0.00,-0.33,-0.12,0.00,-69.07,1023.00,0.00,15.00,0.00,1
T,40,8.80,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,80.00,8.60,1.00,-0.05,0.16,1.00,17.69,-357.94,0.00,15.00,0.00,1
L,40,5.20,16.80,0.00,-0.38,-0.11,0.00,-65.66,1023.00,0.00,15.00,0.00,1
T,40,8.60,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,4.10,8.60,-1.00,-0.21,-0.11,-1.00,-24.22,628.50,0.00,15.00,0.00,1
L,40,5.00,16.80,0.00,-0.38,-0.12,0.00,-63.58,1023.00,0.00,15.00,0.00,1
T,40,8.40,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,6.30,8.60,-1.00,-0.18,0.10,-1.00,-29.59,-542.22,0.00,15.00,0.00,1
T,40,8.60,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,7.00,8.60,-1.00,-0.31,0.10,-1.00,-31.09,-228.38,0.00,15.00,0.00,1
T,40,8.70,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.90,8.60,1.00,-0.52,0.07,1.00,22.58,-156.54,0.00,15.00,0.00,1
L,40,1.00,16.80,0.00,-0.33,-0.13,0.00,-62.63,1023.00,0.00,15.00,0.00,1
T,40,8.50,8.70,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,8.70,8.60,0.40,0.10,-0.25,0.40,-0.44,964.03,0.00,15.00,0.00,1
T,40,8.70,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,9.90,8.60,1.00,-0.26,0.08,1.00,26.48,-675.89,0.00,15.00,0.00,1
T,40,8.60,8.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,7169,3.60,3.60,0.00,-0.06,0.54,0.00,67.85,-1023.00,0.00,15.00,0.00,1
L,900,4.10,4.10,0.00,-0.04,0.00,0.00,0.00,0.00,0.00,15.00,0.00,1
L,940,3.60,3.60,0.00,-0.01,0.54,0.00,1.22,-1023.00,0.00,15.00,0.00,1
L,599,4.30,4.30,0.00,0.01,0.54,0.00,-1.20,-1023.00,0.00,15.00,0.00,1
L,40,4.20,4.30,0.00,0.01,-0.11,0.00,-1.32,197.82,0.00,15.00,0.00,1
S,9531,7.20,7.20,0.00,-0.06,-0.18,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.20,4.30,0.00,0.02,-0.12,0.00,-1.44,-732.40,0.00,15.00,0.00,1
S,40,7.30,7.20,0.00,-0.07,-0.21,0.00,0.00,0.00,0.00,15.00,0.00,1
L,40,3.80,4.30,0.00,-0.38,-0.10,0.00,8.67,-782.93,0.00,15.00,0.00,1
S,40,7.80,7.20,0.00,-0.05,-0.18,0.00,0.00,0.00,0.00,15.00,0.00,1
T,9578,8.60,8.60,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.60,8.60,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
T,40,8.80,8.60,0.00,0.00,0.01,0.00,0.00,0.00,0.00,15.00,0.00,1
L,276,1.80,1.80,0.00,-0.05,0.54,0.00,2.76,-1023.00,0.00,15.00,0.00,1
